model,metric,time,mean,ci_low,ci_high
persistent 0.75,S1,20.0,883.54,881.749814643534,885.3301853564659
persistent 0.75,S1,21.0,887.82,886.0285232203232,889.6114767796769
persistent 0.75,S1,22.0,892.57,890.6653741581151,894.474625841885
persistent 0.75,S1,23.0,896.93,894.921451782752,898.9385482172479
persistent 0.75,S1,24.0,901.4,899.3602526597342,903.4397473402657
persistent 0.75,S1,25.0,905.61,903.474908156968,907.745091843032
persistent 0.75,S1,26.0,910.22,908.0346681398493,912.4053318601508
persistent 0.75,S1,27.0,914.8,912.574129411042,917.0258705889579
persistent 0.75,S1,28.0,919.47,917.1036153847967,921.8363846152033
persistent 0.75,S1,29.0,924.11,921.7342150289459,926.4857849710542
persistent 0.75,S1,30.0,928.44,926.0049423580548,930.8750576419453
persistent 0.75,S1,31.0,933.21,930.7366828199499,935.6833171800502
persistent 0.75,S1,32.0,937.48,934.9377967414707,940.0222032585293
persistent 0.75,S1,33.0,942.26,939.7378502278549,944.7821497721451
persistent 0.75,S1,34.0,947.17,944.6293885056442,949.7106114943557
persistent 0.75,S1,35.0,951.95,949.348665804638,954.5513341953621
persistent 0.75,S1,36.0,956.66,953.9628948570886,959.3571051429113
persistent 0.75,S1,37.0,961.18,958.4678073796839,963.892192620316
persistent 0.75,S1,38.0,965.6,962.8061101010103,968.3938898989898
persistent 0.75,S1,39.0,970.54,967.7246067331776,973.3553932668224
persistent 0.75,S1,40.0,975.8,972.8936511711166,978.7063488288833
persistent 0.75,S1,41.0,980.7,977.7144219787097,983.6855780212904
persistent 0.75,S1,42.0,985.87,982.8762248740685,988.8637751259315
persistent 0.75,S1,43.0,991.36,988.3022477116402,994.4177522883598
persistent 0.75,S1,44.0,996.67,993.5164714748092,999.8235285251907
persistent 0.75,S1,45.0,1001.95,998.706893751137,1005.193106248863
persistent 0.75,S1,46.0,1006.95,1003.6247760521989,1010.2752239478012
persistent 0.75,S1,47.0,1012.06,1008.7037113898314,1015.4162886101685
persistent 0.75,S1,48.0,1017.35,1014.0190628551974,1020.6809371448027
persistent 0.75,S1,49.0,1022.52,1019.1362309948219,1025.903769005178
persistent 0.75,S1,50.0,1027.94,1024.5785126995463,1031.3014873004538
persistent 0.75,S1,51.0,1033.39,1029.8818654578167,1036.8981345421835
persistent 0.75,S1,52.0,1038.26,1034.677685478393,1041.842314521607
persistent 0.75,S1,53.0,1043.67,1040.0350559231235,1047.3049440768766
persistent 0.75,S1,54.0,1049.06,1045.3883300771138,1052.731669922886
